Specialty,Day,BedsAvailable,BedsUsed
1,1,15,12
1,2,15,12
1,3,15,12
1,4,15,12
1,5,15,12
1,6,15,12
3,1,13,5
3,2,13,6
3,3,13,12
3,4,13,12
3,5,13,12
3,6,13,12
5,1,11,4
5,2,12,4
5,3,12,4
5,4,12,4
5,5,12,4
5,6,12,4
7,1,17,2
7,2,17,3
7,3,17,3
7,4,17,3
7,5,17,3
7,6,17,3
7,6,18,3
1,-7,12,12
1,-6,12,12
1,-5,13,12
1,-4,14,12
1,-3,14,12
1,-2,14,12
1,-1,14,12
3,-7,5,0
3,-6,3,0
3,-5,0,0
3,-4,0,0
3,-3,0,0
3,-2,0,0
3,-1,0,0
5,-7,3,0
5,-6,0,0
5,-5,0,0
5,-4,0,0
5,-3,0,0
5,-2,1,1
5,-1,1,1
7,-7,8,0
7,-6,3,0
7,-5,3,0
7,-4,3,0
7,-3,3,0
7,-2,4,0
7,-1,4,1
